system,trial,judge_wer,asr_wer,ref_words
baseline-5000-e7,sir0_val-42-000002,131.42857142857142,100.0,35
baseline-5000-e7,sir0_val-42-000004,86.0,52.0,50
baseline-5000-e7,sir0_val-42-000005,75.60975609756098,80.48780487804878,41
baseline-5000-e7,sir0_val-42-000008,26.829268292682926,100.0,41
baseline-5000-e7,sir0_val-42-000010,81.25,65.625,32
baseline-5000-e7,sir0_val-42-000011,109.52380952380952,133.33333333333334,21
baseline-5000-e7,sir0_val-42-000012,209.0909090909091,281.8181818181818,11
baseline-5000-e7,sir0_val-42-000014,3.225806451612903,16.129032258064516,31
baseline-5000-e7,sir0_val-42-000015,124.0,128.0,25
baseline-5000-e7,sir0_val-42-000019,31.818181818181817,27.272727272727273,44
baseline-5000-e7,sir0_val-42-000021,0.0,13.333333333333334,30
baseline-5000-e7,sir0_val-42-000023,57.142857142857146,71.42857142857143,14
baseline-5000-e7,sir0_val-42-000024,13.793103448275861,24.137931034482758,29
baseline-5000-e7,sir0_val-42-000027,190.0,205.0,20
baseline-5000-e7,sir0_val-42-000028,0.0,22.22222222222222,27
baseline-5000-e7,sir0_val-42-000029,38.46153846153846,38.46153846153846,39
baseline-5000-e7,sir0_val-42-000031,78.26086956521739,76.08695652173913,46
baseline-5000-e7,sir0_val-42-000032,29.166666666666668,33.333333333333336,24
baseline-5000-e7,sir0_val-42-000035,10.526315789473685,10.526315789473685,38
baseline-5000-e7,sir0_val-42-000037,6.451612903225806,48.38709677419355,31
baseline-5000-e7,sir0_val-42-000041,0.0,0.0,25
baseline-5000-e7,sir0_val-42-000045,0.0,0.0,28
baseline-5000-e7,sir0_val-42-000046,91.30434782608695,0.0,23
baseline-5000-e7,sir0_val-42-000048,137.5,187.5,8
baseline-5000-e7,sir0_val-42-000050,111.76470588235294,17.647058823529413,34
baseline-5000-e7,sir0_val-42-000051,118.6046511627907,97.67441860465117,43
baseline-5000-e7,sir0_val-42-000053,113.33333333333333,133.33333333333334,15
baseline-5000-e7,sir0_val-42-000054,97.29729729729729,78.37837837837837,37
baseline-5000-e7,sir0_val-42-000055,0.0,12.121212121212121,33
baseline-5000-e7,sir0_val-42-000057,124.24242424242425,118.18181818181819,33
baseline-5000-e7,sir0_val-42-000058,55.88235294117647,26.470588235294116,34
baseline-5000-e7,sir0_val-42-000061,61.76470588235294,50.0,34
baseline-5000-e7,sir0_val-42-000062,2.0,2.0,50
baseline-5000-e7,sir0_val-42-000063,11.11111111111111,14.814814814814815,27
baseline-5000-e7,sir0_val-42-000065,0.0,6.666666666666667,30
baseline-5000-e7,sir0_val-42-000067,143.10344827586206,36.206896551724135,58
baseline-5000-e7,sir0_val-42-000068,8.695652173913043,8.695652173913043,23
baseline-5000-e7,sir0_val-42-000070,78.57142857142857,80.95238095238095,42
baseline-5000-e7,sir0_val-42-000071,130.0,95.0,20
baseline-5000-e7,sir0_val-42-000073,95.34883720930233,95.34883720930233,43
baseline-5000-e7,sir0_val-42-000077,85.71428571428571,71.42857142857143,35
baseline-5000-e7,sir0_val-42-000078,23.076923076923077,38.46153846153846,39
baseline-5000-e7,sir0_val-42-000080,94.87179487179488,94.87179487179488,39
