trial_id,g_pres,g_mr_raw,g_mr_scaled,ratio
train-42-009526,4.4634809494018555,0.5952097177505493,5.727850437164307,1.2832698295557612
train-42-010099,4.061573028564453,0.8307254910469055,7.994276523590088,1.9682710288273786
train-42-010079,4.024501800537109,0.2572978734970093,2.476041078567505,0.6152416376697988
train-42-003156,4.531766891479492,0.23284557461738586,2.2407305240631104,0.4944496435322109
train-42-005715,1.5195939540863037,0.1845458596944809,1.775930404663086,1.168687464100179
train-42-008035,5.831564426422119,0.26113030314445496,2.5129213333129883,0.43091718612028757
train-42-013884,2.3178470134735107,0.17437729239463806,1.6780757904052734,0.7239803924291447
train-42-005097,5.922513484954834,0.2543697953224182,2.4478633403778076,0.4133149458580718
train-42-019555,2.4769115447998047,0.26092052459716797,2.5109026432037354,1.0137231781551883
train-42-001328,2.54472017288208,0.3067322373390198,2.9517600536346436,1.1599546720657938
train-42-002382,1.8923523426055908,0.26314857602119446,2.532343864440918,1.3381989217473735
train-42-009830,6.06439733505249,0.34066393971443176,3.2782933712005615,0.5405802407193667
train-42-005966,3.0222909450531006,0.37257155776023865,3.585348129272461,1.1863014496142321
train-42-004259,0.9113497138023376,0.22084730863571167,2.1252682209014893,2.3320007552692754
train-42-019103,2.2731828689575195,0.47881922125816345,4.607795715332031,2.027023772814707
train-42-010717,3.030988931655884,0.5601133108139038,5.390108585357666,1.7783333119639446
train-42-010102,4.767388343811035,0.3231951892375946,3.110187292098999,0.6523880724205331
train-42-009118,1.7924537658691406,0.22572574019432068,2.1722145080566406,1.2118664087290185
train-42-007954,1.4626963138580322,0.2809634208679199,2.70378041267395,1.8484906176747065
train-42-007989,4.143893718719482,0.28684166073799133,2.760348081588745,0.6661242466521871
